"Models","DataSets","AUC","Accuracy","Lower","Upper","AccPVal","Precision","Recall","F1","Kappa"
"Logistic","Training",1,1,0.991799701470965,1,3.74848281489398e-118,1,1,1,1
"Logistic","Testing",0.956233421750663,0.952879581151832,0.912437876030757,0.978230154669493,6.17912396171017e-37,0.964285714285714,0.931034482758621,0.947368421052632,0.904738154613466
"RandomForest","Training",1,1,0.991799701470965,1,3.74848281489398e-118,1,1,1,1
"RandomForest","Testing",0.997015915119363,0.979057591623037,0.947249831742973,0.994265117199257,1.01683006493117e-43,0.956043956043956,1,0.97752808988764,0.957938780004404
"SVM","Training",1,1,0.991799701470965,1,3.74848281489398e-118,1,1,1,1
"SVM","Testing",0.998784261715296,0.984293193717278,0.954786512568164,0.996749091897005,2.56930514014864e-45,0.977272727272727,0.988505747126437,0.982857142857143,0.968365262518633
"ElasticNet","Training",1,1,0.991799701470965,1,3.74848281489398e-118,1,1,1,1
"ElasticNet","Testing",0.980658709106985,0.968586387434555,0.932882860591682,0.98838620000457,8.36179319206813e-41,0.96551724137931,0.96551724137931,0.96551724137931,0.936671087533156
"NeuralNet","Training",1,1,0.991799701470965,1,3.74848281489398e-118,1,1,1,1
"NeuralNet","Testing",0.987842617152962,0.973821989528796,0.939969602002858,0.991446609541921,3.20260763593822e-42,0.965909090909091,0.977011494252874,0.971428571428571,0.947275437531055
