ENSG_id,beta,HR,CI,wald.test.test,HR.pvalue.pvalue,wald.test,HR.pvalue,Symbol
ENSG00000203993.4,0.56,1.8,(1.2-2.58),8.35,0.00385,8.35,0.00385,ARRDC1-AS1
ENSG00000215039.5,0.53,1.7,(1.23-2.37),10.1,0.00147,10.1,0.00147,CD27-AS1
ENSG00000179523.4,0.5,1.7,(1.15-2.38),7.3,0.0069,7.3,0.0069,EIF3J-AS1
ENSG00000204685.6,0.45,1.6,(1.04-2.38),4.56,0.0326,4.56,0.0326,STARD7-AS1
ENSG00000258056.2,0.48,1.6,(1.14-2.29),7.31,0.00686,7.31,0.00686,RP11-644F5.11
ENSG00000267317.2,0.49,1.6,(1.21-2.19),10.6,0.00116,10.6,0.00116,CTB-25B13.12
ENSG00000233223.2,0.41,1.5,(1.19-1.88),12.1,0.000504,12.1,0.000504,AC113189.5
ENSG00000274272.1,0.41,1.5,(1.17-1.96),9.87,0.00168,9.87,0.00168,RP11-44M6.7
ENSG00000255284.1,0.41,1.5,(1.19-1.92),11.2,0.0008,11.2,0.0008,AP006621.5
ENSG00000257605.2,0.41,1.5,(1.1-2.05),6.61,0.0101,6.61,0.0101,RP11-680A11.5
ENSG00000204054.10,0.43,1.5,(1.07-2.21),5.45,0.0195,5.45,0.0195,LINC00963
ENSG00000230163.1,0.33,1.4,(1-1.94),3.84,0.0499,3.84,0.0499,RP5-997D16.2
ENSG00000270015.1,0.32,1.4,(1.04-1.81),5.08,0.0242,5.08,0.0242,RP11-540B6.6
ENSG00000228288.5,0.33,1.4,(1.11-1.75),8.13,0.00434,8.13,0.00434,PCAT6
ENSG00000269609.4,0.3,1.4,(0.994-1.85),3.7,0.0544,3.7,0.0544,RPARP-AS1
ENSG00000257702.3,0.32,1.4,(1.02-1.88),4.29,0.0383,4.29,0.0383,LBX2-AS1
ENSG00000204282.4,0.37,1.4,(1.14-1.82),9.38,0.0022,9.38,0.0022,TNRC6C-AS1
